Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
192.168.0.116,142.251.126.95,UDP,56596,443,71
142.251.126.95,192.168.0.116,UDP,443,56596,67
192.168.0.116,142.251.106.17,TCP,39076,443,66
142.251.106.17,192.168.0.116,TCP,443,39076,66
142.251.126.95,192.168.0.116,UDP,443,56596,121
192.168.0.116,142.251.126.95,UDP,56596,443,75
192.168.0.116,172.64.155.209,TCP,38176,443,1454
192.168.0.116,172.64.155.209,TCP,38176,443,1454
172.64.155.209,192.168.0.116,TCP,443,38176,66
192.168.0.116,172.64.155.209,TCP,38176,443,1454
192.168.0.116,172.64.155.209,TCP,38176,443,1454
172.64.155.209,192.168.0.116,TCP,443,38176,78
172.64.155.209,192.168.0.116,TCP,443,38176,78
192.168.0.116,172.64.155.209,TCP,38176,443,1454
192.168.0.116,172.64.155.209,TCP,38176,443,1454
172.64.155.209,192.168.0.116,TCP,443,38176,66
172.64.155.209,192.168.0.116,TCP,443,38176,66
192.168.0.116,172.64.155.209,TCP,38176,443,1454
192.168.0.116,172.64.155.209,TCP,38176,443,539
172.64.155.209,192.168.0.116,TCP,443,38176,66
172.64.155.209,192.168.0.116,TCP,443,38176,66
172.64.155.209,192.168.0.116,TCP,443,38176,105
192.168.0.116,172.64.155.209,TCP,38176,443,66
172.64.155.209,192.168.0.116,TCP,443,38176,589
172.64.155.209,192.168.0.116,TCP,443,38176,144
192.168.0.116,172.64.155.209,TCP,38176,443,66
192.168.0.116,172.64.155.209,TCP,38176,443,66
192.168.0.116,172.64.155.209,TCP,38176,443,101
172.64.155.209,192.168.0.116,TCP,443,38176,66
192.168.0.116,192.178.211.188,TCP,45528,5228,66
192.178.211.188,192.168.0.116,TCP,5228,45528,66
192.168.0.116,142.251.106.94,UDP,59886,443,1292
192.168.0.116,142.251.106.94,UDP,59886,443,1292
192.168.0.116,142.251.106.94,UDP,59886,443,119
192.168.0.116,142.251.106.94,UDP,59886,443,1027
142.251.106.94,192.168.0.116,UDP,443,59886,82
142.251.106.94,192.168.0.116,UDP,443,59886,1292
142.251.106.94,192.168.0.116,UDP,443,59886,319
142.251.106.94,192.168.0.116,UDP,443,59886,986
142.251.106.94,192.168.0.116,UDP,443,59886,67
142.251.106.94,192.168.0.116,UDP,443,59886,64
192.168.0.116,142.251.106.94,UDP,59886,443,1292
142.251.106.94,192.168.0.116,UDP,443,59886,1292
192.168.0.116,142.251.106.94,UDP,59886,443,1292
192.168.0.116,142.251.106.94,UDP,59886,443,115
142.251.106.94,192.168.0.116,UDP,443,59886,160
192.168.0.116,142.251.106.94,UDP,59886,443,75
142.251.106.94,192.168.0.116,UDP,443,59886,574
142.251.106.94,192.168.0.116,UDP,443,59886,64
192.168.0.116,142.251.106.94,UDP,59886,443,79
192.168.0.116,142.251.106.94,UDP,59886,443,75
142.251.106.94,192.168.0.116,UDP,443,59886,65
192.168.0.116,51.105.71.136,TCP,42348,443,180
192.168.0.116,192.168.0.1,UDP,52510,53,103
192.168.0.116,51.105.71.136,TCP,42348,443,2922
192.168.0.116,192.168.0.1,UDP,39241,53,103
192.168.0.116,51.105.71.136,TCP,42348,443,76
192.168.0.1,192.168.0.116,UDP,53,39241,538
192.168.0.1,192.168.0.116,UDP,53,52510,272
192.168.0.116,192.168.0.1,UDP,54481,53,117
192.168.0.1,192.168.0.116,UDP,53,54481,188
